frame_index,capture_perf,elapsed_sec,write_perf
134,76198.426323534,5.554966429,76198.472375179
135,76198.466063489,5.594706384,76198.513224051
136,76198.506051966,5.634694861,76198.554285675
137,76198.550725016,5.679367911,76198.595348382
138,76198.590665938,5.719308833,76198.636293019
139,76198.634122163,5.762765058,76198.678574427
140,76198.673983429,5.802626324,76198.721601739
141,76198.718671555,5.847314450,76198.763725450
142,76198.758668762,5.887311657,76198.804560480
143,76198.798255765,5.926898660,76198.845622839
144,76198.842554914,5.971197809,76198.888897215
145,76198.882561434,6.011204329,76198.929121418
146,76198.925742457,6.054385352,76198.971498644
147,76198.965827438,6.094470333,76199.013937866
148,76199.005782738,6.134425633,76199.055082592
149,76199.050633100,6.179275995,76199.096720427
150,76199.090640273,6.219283168,76199.137169666
151,76199.134640854,6.263283749,76199.178681702
152,76199.175439367,6.304082262,76199.220376929
153,76199.217942715,6.346585610,76199.262992377
154,76199.258020343,6.386663238,76199.304842070
155,76199.297964672,6.426607567,76199.345885300
156,76199.342610821,6.471253716,76199.389489672
157,76199.382636623,6.511279518,76199.430155806
158,76199.426600085,6.555242980,76199.470414994
159,76199.466626223,6.595269118,76199.513079162
160,76199.506461258,6.635104153,76199.555551477
161,76199.550282266,6.678925161,76199.596694521
162,76199.590023674,6.718666569,76199.637600821
163,76199.634603832,6.763246727,76199.678960125
164,76199.674624641,6.803267536,76199.719893563
165,76199.717930594,6.846573489,76199.761640336
166,76199.757836849,6.886479744,76199.804988671
167,76199.798297428,6.926940323,76199.846912702
168,76199.842627421,6.971270316,76199.890611861
169,76199.882562787,7.011205682,76199.930183508
170,76199.926734787,7.055377682,76199.970773703
171,76199.966583550,7.095226445,76200.011821830
172,76200.006079577,7.134722472,76200.053925716
173,76200.050148395,7.178791290,76200.097055789
174,76200.089806983,7.218449878,76200.138107731
175,76200.134116863,7.262759758,76200.179263187
176,76200.174596854,7.303239749,76200.215415490
177,76200.218704357,7.347347252,76200.261897282
178,76200.258557830,7.387200725,76200.303576040
179,76200.298594570,7.427237465,76200.345470042
180,76200.341871944,7.470514839,76200.386436195
181,76200.381869141,7.510512036,76200.430519714
182,76200.426523253,7.555166148,76200.471057164
183,76200.466602835,7.595245730,76200.512335293
184,76200.506609052,7.635251947,76200.553917602
185,76200.550224601,7.678867496,76200.596051846
186,76200.590132900,7.718775795,76200.638610760
187,76200.634619289,7.763262184,76200.679741056
188,76200.674640574,7.803283469,76200.721236365
189,76200.718596837,7.847239732,76200.762409029
190,76200.758498582,7.887141477,76200.803470310
191,76200.798657504,7.927300399,76200.845058870
192,76200.841918336,7.970561231,76200.891054115
193,76200.881978419,8.010621314,76200.931161528
194,76200.926529155,8.055172050,76200.971947020
195,76200.966632622,8.095275517,76201.012642543
196,76201.006619273,8.135262168,76201.053897434
197,76201.050626106,8.179269001,76201.095204265
198,76201.090605698,8.219248593,76201.137142007
199,76201.134034857,8.262677752,76201.180296417
200,76201.174038751,8.302681646,76201.221593987
201,76201.218685363,8.347328258,76201.262497606
202,76201.258604187,8.387247082,76201.303837834
203,76201.298577643,8.427220538,76201.345020518
204,76201.342444688,8.471087583,76201.389867202
205,76201.382295491,8.510938386,76201.430130004
206,76201.425899117,8.554542012,76201.472303996
207,76201.465997636,8.594640531,76201.513702628
208,76201.506174003,8.634816898,76201.554595013
209,76201.550624545,8.679267440,76201.595595462
210,76201.590587838,8.719230733,76201.636616825
211,76201.634143018,8.762785913,76201.679228424
212,76201.674077237,8.802720132,76201.721848274
213,76201.718625475,8.847268370,76201.763807918
214,76201.758609533,8.887252428,76201.804443218
215,76201.798589635,8.927232530,76201.845422367
216,76201.842625242,8.971268137,76201.889061028
217,76201.882889081,9.011531976,76201.929622909
218,76201.926117713,9.054760608,76201.971445374
219,76201.965923245,9.094566140,76202.014392480
220,76202.005420883,9.134063778,76202.054916543
221,76202.050686645,9.179329540,76202.096130646
222,76202.090623328,9.219266223,76202.137059530
223,76202.134590490,9.263233385,76202.178541989
224,76202.174621702,9.303264597,76202.220271638
225,76202.216531353,9.345174248,76202.262688353
226,76202.257861597,9.386504492,76202.304766683
227,76202.297921844,9.426564739,76202.346168115
228,76202.342609057,9.471251952,76202.390120684
229,76202.382633727,9.511276622,76202.429564174
230,76202.426372655,9.555015550,76202.470938542
231,76202.466459347,9.595102242,76202.512897476
232,76202.506268845,9.634911740,76202.555545385
233,76202.550306026,9.678948921,76202.596621093
234,76202.590279344,9.718922239,76202.637454741
235,76202.634595655,9.763238550,76202.678672913
236,76202.674607053,9.803249948,76202.720057093
237,76202.718124997,9.846767892,76202.762222843
238,76202.758368605,9.887011500,76202.804806793
239,76202.798749736,9.927392631,76202.847162441
