class_name,filename,start_time,end_time,total_frames,fps_reported,duration_seconds,fps_measured,frames_captured,frames_saved
car,car20250829173403.mp4,2025-08-29 17:34:03.056410,2025-08-29 17:34:15.044305,300,30.000,11.987895,25.025244,300,300
car,car20250829173415.mp4,2025-08-29 17:34:15.083744,2025-08-29 17:34:27.055822,300,30.000,11.972078,25.058307,300,300
car,car20250829173427.mp4,2025-08-29 17:34:27.094454,2025-08-29 17:34:39.035912,300,30.000,11.941458,25.122560,300,300
car,car20250829173439.mp4,2025-08-29 17:34:39.074655,2025-08-29 17:34:51.058748,300,30.000,11.984093,25.033184,300,300
car,car20250829173451.mp4,2025-08-29 17:34:51.098110,2025-08-29 17:35:03.076391,300,30.000,11.978281,25.045330,300,300
car,car20250829173503.mp4,2025-08-29 17:35:03.115612,2025-08-29 17:35:03.121545,1,30.000,0.005933,168.548795,1,1
